,"DDe ep pth th |
(cm)
(cm)","Hori-
Hori-
zzo on n |","Sand
Sand
(( 22. .00- -0 0. .0 05
5
mm)
mm)
((%%) )","SSiilltt
(0.05-
(0.05-
0.002mm)|
0.002mm)
((%%) )","Clay
Clay
(<0.002
«0.002
mm)
mm)
((%%) )","Texture
Texture","| CCo oa ars rse e
ffr ra ag g. . |
vvool.l . |
((%%) )","| ppH H
11: :2 2. .5
5
water
water","EC
EC
| 11: :2 2. .5 5
| wwa ate ter r
(dS/m)
(dS/m)",lat_long,page,x,y,state
276,"86+
86+","R
R","hard rock
hard rock",,,,,,,,113,21.64111111,85.77805556,Orissa
277,"Depth
Depth
((ccmm) )","Hori-
Horl-
zzo on n |","Sand
Sand
(2.0-0.05
(2.0-0.05
mm)
mm)
((%%) )","SSillit t
((00..0055--
0.002mm);
0.002mm)
((%a) )","Clay
Clay
(<0.002
«0.002
mm)
mm)
(%)
(%)",TTe ex xt tu ure re |,"CCo oa ars rse
e
ffrraagg. . |
vvool.l . |
((%‘) )","| ppH H
11::22..55
wwat ae tr e)
r","EC
EC
| 11::22..55
water
water
((ddSS//mm) )",,115,21.38333334,85.16666667,Orissa
278,"0-16
0- 16","Ap
Ap","66.0
66.0","17,9
17.9","16.1
16.1","sl
51","-
~","6.3
6.3","0.28
0.28",,115,21.38333334,85.16666667,Orissa
279,1166 -~— 336 6,"Bw!
Bwl","56.5
56.5","11.0
11.0","32.5
32.5","scl
sci",-=,66..77,"0.13
0.13",,115,21.38333334,85.16666667,Orissa
280,3366 -— 6644,"Bw2
Bw2","50.2
50.2","12.7
12.7","37.1
37.1",sscc,-~,"6.9
6.9","0.15
0.15",,115,21.38333334,85.16666667,Orissa
281,"64-89
64-89","Bw3
Bw3","48.1
48.1",)11 1..33,"40.6
40.6",sscc,--,"7.0
7.0",00..1)1 1,,115,21.38333334,85.16666667,Orissa
282,"89-127
89 -127",| BBw w4 4,"48.7
48.7",88..99,"42.4
42.4",sscc,-~,77..22,"0.11
0.11",,115,21.38333334,85.16666667,Orissa
283,"127-150
127-150",| BBw ws 5,"48.3
48.3","11.6
11.6","40.1
40.1",sscc,"-
-","7.3
7.3","0.09
0.09",,115,21.38333334,85.16666667,Orissa
284,"DDe ep pth th |
(cm)
(em)","HHo ori r-
f -
zon
zoo","Sand
Sand
(2.0-0.05
(2.0-0.05
mm)
mm)
((%%) )","SSillti t
(0.05-
(0.05-
0.002mm)|
0.002mm)
((%%) )","Clay
Clay
(<0.002
«0.002
mm)
mm)
((A%) )",T Te ex xtu ture re |,"CCo oa ars rse
e
ff rra ag g. . |
vvool.l . |
((%%) )","| ppH H
11: :2 2. .5
5
wwa ate ter
r","EC
EC
| 11: :2 2. .5 5
| wwa ate ter r
((ddSS//mm) )",,117,22.23138889,84.935,Orissa
285,"0-12
0-12","Ap
Ap","14.4
14.4","41.2
41.2","44.4
44.4","sic
sic",--,"7.2
7.2","0.22
0.22",,117,22.23138889,84.935,Orissa
286,"12-23
12-23",| B Bw wl l,"14.1
14.1","43.6
43.6","42.3
42.3",ssiicc,--,"7.2
7.2","0.23
0.23",,117,22.23138889,84.935,Orissa
287,"23-47
23 -47","| Bw2
Bw2","13.6
13.6","43.4
43.4","43.0
43.0","sic
sic",--,"7.1
7.1","0.14
0.14",,117,22.23138889,84.935,Orissa
288,"47-67
47-67","Bw3
Bw3","14.0
14.0","45.2
45.2","40.8
40.8",ssiicc,#NAME?,"7.2
7.2","0.12
0.12",,117,22.23138889,84.935,Orissa
289,"67-87
67-87","| Bw4
Bw4","16.5
16.5","36.4
36.4","47.)
47.1",cc,#NAME?,"7.2
7.2","0.14
0.14",,117,22.23138889,84.935,Orissa
290,"87-—120|
87 -120","Bws
Bw5","19.4
19.4","35.6
35.6","45.0
45.0","sic
sic","-
-","7.3
7.3","0.08
0.08",,117,22.23138889,84.935,Orissa
291,"DDe ep pth th |
(cm)
(em)","Hori-
Hori-
zzo on n |","Sand
Sand
(( 22. .0 0- ·0 0. .0 05
5
mm)
mm)
C(h%a))","Silt
Silt
(0.05-
(0.05-
0.002mm);
O.002mm)
((%“A))","Clay
Clay
(<0.002
«0.002
mm)
mm)
((%A) )",TTe ex xt tu ure re |,"CCo oa ars rse
e
tf rra ag g. . |
vvo ol. l . |
((%%) )","| ppH H
11: :2 2. .5
5
wwa ate ter
r","EC
EC
| 11: :2 2. .5 5
water
| water
(dS/m)
(dS/m)",,119,20.94166667,84.85833333,Orissa
292,"0-13
0 - 13","Ap
Ap","75.0
75.0","10.5
10.5","14.5
14.5",ssll,--,"6.7
6.7","0.07
0.07",,119,20.94166667,84.85833333,Orissa
293,"13-26 |
13 - 26","BBw wi
l","60.5
60.5","18.3
18.3","21.2
21.2",sscclI,77,"6.8
6.8","0.05
0.05",,119,20.94166667,84.85833333,Orissa
294,226 6- -4 40 0 |,"Bw2
Bw2","71.4
71.4","44
7.7","20.9
20.9",sscclI,"19
19","6.9
6.9","0.05
0.05",,119,20.94166667,84.85833333,Orissa
295,4400 —- 7700,"BC
Be","69.8
69.8","8.7
8.7","21.1
21.1","scl
sci","52
52","77. .1
1 |","0.03
0.03",,119,20.94166667,84.85833333,Orissa
296,"DDe ep pth th |
(cm)
(cm)","HHo ori r-
l -
zzo on n |","Sand
| Sand
((22..00--00..0055
mm)
mm)
(%)
(%)","SSiiltl t
((00..0055- -
0.002mm)'
0.002mm)
((%%) )","Clay |
Clay
(<0.002
«0.002
mm)
mm)
((%%) )","Texture
Texture |","CCo oar as re s;
e
ff rra ag g. . |
vol. |
vol.
((%%) )","pH |
pH
11::22..55
water
water","EC
EC |
| 11::22..55
water
water
(dS/m)
l_dS/m}_","22°01'30"" Nand 84°58'50"" E ",121,22.025,84.98055556,Orissa
297,"0-15
0 - 15","Ap
Ap","35.2
35.2","34.6
34.6","30.2
30.2",ccll,--,"5.4
5.4","0.36
0.36","22°01'30"" Nand 84°58'50"" E ",121,22.025,84.98055556,Orissa
298,"11 55 - -5 ! |
5 1","BBw wl
l",1177..55,"49.0
49.0","33.5
33.5",ssiiccl I,-~,"5.7
5.7","0.27
0.27","22°01'30"" Nand 84°58'50"" E ",121,22.025,84.98055556,Orissa
299,"55 11 - -7 1 |
7 1","BBw w2
2","15.3
15.3","42.5
42.5","42.2
42.2",ssiicc,"-
-","5.9
5.9","0.14
0.14","22°01'30"" Nand 84°58'50"" E ",121,22.025,84.98055556,Orissa
300,"71-105
71 -105",| BBw w3 3,"14.6
14.6","42.3
42.3","43.1
43.1",ssiicc,--,"6.0
6.0","0.09
0.09","22°01'30"" Nand 84°58'50"" E ",121,22.025,84.98055556,Orissa
301,"105-150
105 -150",| BBw w4 4,"24.4
24.4","39.6
39.6","36.0
36.0",ccll,--,"6.2
6.2","0.08
0.08","22°01'30"" Nand 84°58'50"" E ",121,22.025,84.98055556,Orissa
302,"DDe ep pth th |
(cm)
(em)","HHo ori r-
i -
zon
zon","Sand
Sand
(2.0-0.05
(2.0-0.05
mim)
mm)
((%“) )","SSiillt t
(0.05-
(0.05-
0.002mm);
0.OO2mm)
((%%) )","Clay
Clay
(<0.002
«0.002
mm)
mm)
((%%) )",TTe ex xt tu ure re |,"CCo oa ars rse
e
ffr ra ag g. . |
vol. |
vol.
((%%) )","| ppH H
11: :2 2. .8 5 |
water
water","EC
EC
11: :2 2. .5
5
| wwa ate ter r
((ddSS//mm) )","21°3'34"" Nand 85°4'4"" E ",123,21.05944444,85.06777778,Orissa
303,"0-14
0 - 14","Ap
Ap","56.6
56.6",55..66,"37.8
37.8",sscc,"16.0
16.0","6.1
6.1","0.8]
0.81","21°3'34"" Nand 85°4'4"" E ",123,21.05944444,85.06777778,Orissa
304,"14-29 |
14 - 29","Bwgl
BwgJ","42.4
42.4","23.4
23.4","34,2
34.2",ccll,"10.0
10.0","5.5
5.5","0.72
0.72","21°3'34"" Nand 85°4'4"" E ",123,21.05944444,85.06777778,Orissa
305,"29-52
29 - 52",| B Bw wg g2 2,"53.6
53.6",99..99,"36.5
36.5","sc
sc","9.0
9.0",77..55,"0.56
0.56","21°3'34"" Nand 85°4'4"" E ",123,21.05944444,85.06777778,Orissa
306,"52-106
52 - 106","Bwg3
| Bwg3","55.1
55.1
|",88..11,"36.8
36.8",sscc,66..00,77..55,"0.45
0.45","21°3'34"" Nand 85°4'4"" E ",123,21.05944444,85.06777778,Orissa
307,"[106-150]
106 - 150","Bwg4
Bwg4","54.2
54.2
|",77..66,"38.2
38.2",sscc,"5.0
5.0","7.6
7.6","0.38
0.38","21°3'34"" Nand 85°4'4"" E ",123,21.05944444,85.06777778,Orissa
308,"DDe ep pth th |
(cm)
(cm)","Hori-
Horl-
zzo on n |","Sand
Sand
(( 22. .00- -0 0. .0 05
5
mm)
mm)
((%%) )","SSiiltl t
(0.05-
(0.05-
0.002mm);
0.002mm)
((%%) )","Clay
Clay
(<0.002
«0.002
mm)
mm)
(%)
(%)","Texture
Texture","| CCo oa ars rse e |
ff rra ag g. . |
vol. |
vol.
(%)
i%)","ppH
H
11: :2 2. .5 5 |
water
water","EC
EC
11: :2 2. .5
5
water
water
(dS/m)
(dS/m)",,125,20.92916667,85.125,Orissa
309,"0-15
0 - 15","A
A","90.0
90.0",22..55,"7.3
7.3",ss,--,"6.8
6.8","0.05
0.05",,125,20.92916667,85.125,Orissa
310,"15 - 35
15 - 35","A2
A2","82.4
82.4","9.0
9.0","8.6
8.6",IIss,"-
-","6.9
6.9","0.06
0.06",,125,20.92916667,85.125,Orissa
311,"35-61
35 -61","Btl
Btl","73.0
73.0","122
12.2","14.8
14.8",ssll,-~,"7.2
7.2","0.08
0.08",,125,20.92916667,85.125,Orissa
312,66 11 - -1 0 11 0 1 |,"BBt
t2","58.1
58.1","15.4
15.4","26.5
26.5",ssccli,--,"7.4
7.4","0.10
0.10",,125,20.92916667,85.125,Orissa
313,"101-150
101 -150 |","Bt3
} Bt3","50.2
50.2","12.2
12.2","37.6
37.6","sc
sc",-~,"7.5
7.5","0.13
0.13",,125,20.92916667,85.125,Orissa
314,"Depth |
Depth
(em) |
(cm)","Hori-
Hori-
zon |
zon","Sand
Sand
(2.0-0.05
(2.0-0.05
mm)
mm)
((%%) )","SSiillt t
| (0.05- |
(0.05-
0.002mm)|
0.OO2mm)
((%%) )","Clay
Clay
(<0.002
«0.002
mm)
mm)
((%%) )","Texture
Texture","| CCo oa ars rse e
frag. |
frltg.
vvool.l . |
((%%))","pH
| pH
1:2.5 |
1:2.5
wwa ate ter
r","EC
EC
1:2.5
1:2.5
| wwa ate ter r
(dS/m)
(dS/m)","19°41'10"" Nand 84°21 '30"" E ",127,19.68611111,84.35833333,Orissa
315,"0-17
0 - 17","Ap
Ap","49.5
49.5","23.2
23.2","27.3
27.3",ssccli,--,"5.4
5.4","0.17
0.17","19°41'10"" Nand 84°21 '30"" E ",127,19.68611111,84.35833333,Orissa
316,1177 -- 443 3,"Btl
Btl","36.6
36.6","30.0
30.0","33.4
33.4",ccll,--,"D7
So. 7","0.18
0.18","19°41'10"" Nand 84°21 '30"" E ",127,19.68611111,84.35833333,Orissa
317,443 3 -— 778 8,"Bt2
Bt2","48.0
48.0","15.5
15.5","36.5
36.5","sc
sc",--,"5.9
5.9","0.09
0.09","19°41'10"" Nand 84°21 '30"" E ",127,19.68611111,84.35833333,Orissa
318,7788 —- 9933,"Bt3
Bt3","47.2
47.2","14.1
t 4. t","38.7
38.7","sc
sc",--,66..1 1,"0.07
0.07","19°41'10"" Nand 84°21 '30"" E ",127,19.68611111,84.35833333,Orissa
319,"93-150
93 - 150 |","BBt t4
4","50.3
50.3","16.3
16.3","33.4
33.4",ssccli,--,"6.3
6.3","0.04
0.04","19°41'10"" Nand 84°21 '30"" E ",127,19.68611111,84.35833333,Orissa
320,"DDe p pth tb |
(em)
(cm)","Hori-
Hori-
zzo on n |","Sand
Sand
(( 22. .00- -0 0. .0 05
5
mm)
mm)
((%%)J","SSiUlt t
(0.05-
(0.05-
0.002mm)
0.002mm)
((%%) )","Clay
(<0.002
«0.002
mm)
(%)",TTe ex xt tu ure re |,"CCo oa ars rse e |
tf rra ag g. . |
vvool.l . |
((%%) )","ppH
H
11: :2 2. .5 5 |
water
water","EC
EC
11: :2 2. .5
5
| wwa ate ter r
(dS/m)
(dS/m)","20°50'45"" Nand 85°46'45"" E ",129,20.84583333,85.77916667,Orissa
321,"0-12
0 - 12",A,"62.8
62.8","18.9
18.9",18.3,ssll,1144,66..66,"0.12
0.12","20°50'45"" Nand 85°46'45"" E ",129,20.84583333,85.77916667,Orissa
322,11 22 - - 2 29 9 |,"AAl I2
2",6655..88,"17.1
17.1",17.1,ssll,4411,66..88,"0.11
0.11","20°50'45"" Nand 85°46'45"" E ",129,20.84583333,85.77916667,Orissa
323,2299 ~- 4455,"AC
AC","58.2
58.2","18.5
t 8.5",23.3,ssccl i,"79
79",66..77,"0.14
0.14","20°50'45"" Nand 85°46'45"" E ",129,20.84583333,85.77916667,Orissa
324,"45+
45+",R,"hard rock
hard rock",,,,,,,"20°50'45"" Nand 85°46'45"" E ",129,20.84583333,85.77916667,Orissa
325,"DDe ep pth th |
(em)
(cm)","Hori-
Hori-
zzo on n |","Sand
Sand
(( 22. .00- -0 0. .0 05
5
mm)
mm)
((%%) )","SSiilltt
(0.05-
(0.05-
0.002mm)
O.OO2mm)
((%%) )","Clay
Clay
(<0.002
«0.002
mm)
mm)
((%%) )","Texture
Texture","| CCo oa ars rse e
ffrraagg. . |
vvool.l .
((%%))","| ppH H
11::22..55
water
water","EC
EC
| 11::22..55
| wwa ate ter r
(dS/m)
(dS/m)","20°15'30"" Nand 85°13' E ",131,20.25833333,85.21666667,Orissa
326,"0-11
0-11","A
A","64.3
64.3","11.6
11.6","24.1
24.1",ssccli,"35
35","52
5.2","0.21
0.21","20°15'30"" Nand 85°13' E ",131,20.25833333,85.21666667,Orissa
327,"11-34 |
11-34","Btl
Btl","54.5
54.5","16.3 |
16.3","30.2
30.2","scl
sci","42
42",5§. .2 2 |,"00. .117
7","20°15'30"" Nand 85°13' E ",131,20.25833333,85.21666667,Orissa
328,"34-65
34-65","Bt2
Bt2",5500..55,"18.5
18.5","31.0
31.0",ssccli,"35
35",55..33,"0.12
0.12","20°15'30"" Nand 85°13' E ",131,20.25833333,85.21666667,Orissa
329,"65-104
65 - 104",| B Bt t3 3,"45.0
45.0","15.3
15.3","39.7
39.7",ccll,4400,55..88,"0.18
0.18","20°15'30"" Nand 85°13' E ",131,20.25833333,85.21666667,Orissa
330,"104+
104+","Cr
Cr","weathered parent material
weathered parent material",,,,,,,"20°15'30"" Nand 85°13' E ",131,20.25833333,85.21666667,Orissa
331,"DDe ep pth th |
(cm)
(cm)","Hori-
Hori-
zzo on n |","Sand
Sand
(( 22. .00- -0 0. .0 05
5
mm)
mm)
_(%)
(%)","SSiiltl t
(0.05-
(0.05-
0.002mm);
0.002mm)
((%%) )","Clay
Clay
(<0.002
«0.002
mm)
mm)
((%%) )",TTe ex xt tu ure re |,"CCo oa ars rse
e
Cfr ra ag g. . |
vvool.l . |
((%%) )","| ppH H
11: :2 2. .5
5
wwa ate ter
r","EC
EC
| 11: :2 2. .5 5
| wwa ate ter r
(dS/m)
(dS/m)","21°54' N and 87°8' 10"" E ",133,21.9,87.13611111,Orissa
332,"0-16
0 - 16
L","Apg
Apg_","32.0
32.0","34.7
34.7","33.3
33.3",ccl1,--,"75
7.5","0.46
0.46","21°54' N and 87°8' 10"" E ",133,21.9,87.13611111,Orissa
333,"16—43 |
16 - 43","Bwgl
Bwg1","44.4
44.4","18.6
18.6","37.0
37.0",ccll,-=,"8.0
8.0","0.63
0.63","21°54' N and 87°8' 10"" E ",133,21.9,87.13611111,Orissa
334,44 33 - -6 64 4 |,"BBw wg g2
2","46.8
46.8","17.3
17.3","35.9
35.9",sscc]i,--,"8.]
8.1","0.71
0.71","21°54' N and 87°8' 10"" E ",133,21.9,87.13611111,Orissa
335,66 44 - -9 95 5 |,"Bwg3
Bwg3","52.7
52.7","10.1
10.1","37.2
37.2",sscc,--,"8.0
8.0","0.54
0.54","21°54' N and 87°8' 10"" E ",133,21.9,87.13611111,Orissa
336,"95-152 |
95 - 152","B Bw wg4
g 4","55.6
55.6","6.1
6.1","38.3
38.3",sscc,--,88..11,"0.28
0.28","21°54' N and 87°8' 10"" E ",133,21.9,87.13611111,Orissa
337,"0-9
0 - 9","A
A","65.0
65.0","13.4
13.4","21.6
21.6",sscclI,"21
21","5.3
5.3","0.07
0.07","20°38'30"" Nand 85°57'33"" E ",135,20.64166667,85.95916667,Orissa
338,99 -— 3344,"Bw
Bw","60.4
60.4","14.2
14.2","25.4
25.4",ssccl I,"56
56","5.4
5.4","0.08
0.08","20°38'30"" Nand 85°57'33"" E ",135,20.64166667,85.95916667,Orissa
339,334 4 -— 662 2,"Cr
Cr","weathered parent material
weatheredparent material",,,,,,,"20°38'30"" Nand 85°57'33"" E ",135,20.64166667,85.95916667,Orissa
340,"DDe ep pth th |
(cm)
(em)","Hori-
Hori-
zzo on n |","Sand
Sand
(( 22. .00- -0 0. .0 05
5
mm)
mm)
_((%%) )","SSiilltt
(0.05-
(0.05-
0.002mm)|
0.002mm)
((%%) )","Clay
Clay
(<0.002
«0.002
mm)
mm)
((%%) )",TTe ex xt tu ure re |,"CCo oa ars rse
e
Cfr ra ag g. . |
vvool.l . |
((%%) )","| p pH H
11: :2 2. .5 5 |
water
water","EC
EC
11::22..55
| wwa ate ter r
(dS/m
(dS/m)","20°37' 16"" Nand 85°57'45"" E ",137,20.62111111,85.9625,Orissa
341,"0-13
0- 13",AA,7700.1. 1,"18.7
18.7",1111..22,ssll,"-
-",55..44,"0.10
0.10","20°37' 16"" Nand 85°57'45"" E ",137,20.62111111,85.9625,Orissa
342,1133 -— 2299,BBtlt l,"67.6
67.6","15.0
15.0","17.4
17.4",ssll,"-
-","5.6
5.6","0.11
0.11","20°37' 16"" Nand 85°57'45"" E ",137,20.62111111,85.9625,Orissa
343,2299 -- 5533,"Bt2
Bt2","58.3
58.3","19.5
19.5","22.2
22.2","scl
scI |",t11 1,"5.9
5.9","0.08
0.08","20°37' 16"" Nand 85°57'45"" E ",137,20.62111111,85.9625,Orissa
344,"53+
53+",CCrr,"weathered parent material
weathered parent material",,,,,,,"20°37' 16"" Nand 85°57'45"" E ",137,20.62111111,85.9625,Orissa
345,"0-14
0 - 14","Ap
Ap","50.0
50.0","21.3
21.3","28.7
28.7",ssccli,--,"6.7
6.7","0.09
0.09",,139,20.93333334,85.75833333,Orissa
346,"14-29
14 - 29 |","BBw wl
l","18.4
18.4","49.2
49.2","32.4
32.4",ssiiccll,77,"7.0
7.0","0.11
0.11",,139,20.93333334,85.75833333,Orissa
347,"22 99 - -7 0 |
7 0","BBw w2
2","46.2
46.2","19.1
19.1","34.7
34.7",sscel l,1177,"72
7.2","0.10
0.10",,139,20.93333334,85.75833333,Orissa
348,"70-140 |
70 - 140","Bw3
Bw3","46.7
46.7","14.8
14.8","38.5
38.5",sscc,"31
31",77..33,"0.06
0.06",,139,20.93333334,85.75833333,Orissa
349,"140+
140+","Cr
Cr","Weathered parent material
Weathered parent material",,,,,,,,139,20.93333334,85.75833333,Orissa
350,"DDe ep pth th |
(cm)
(cm)","Hori-
Hori-
zzo on n |","Sand
Sand
(( 22. .00- -0 0. .0 05
5
mm)
mm)
((%%) )","SSiilltt
(0.05-
(0.05-
0.002mm)|
O.OOlmm)
((%%) )","Clay
Clay
(<0.002
«0.002
mm)
mm)
((%%) )","Texture
Texture","Coarse
| Coarse
frag.
frag.
vvool.l . |
((%%) )","pH
| pH
§ 11: :2 2. .5 5
wwa ate ter
r","EC
EC
| 11: :2 2. .5 5
| wwa ate ter r
((ddSS//mm) )",,141,20.9125,85.59166667,Orissa
351,"0-15
0-15","Ap
Ap","36.7
36.7","34.0
34.0","29.3
29.3",ccll,--,"5.7
5.7","0.69
0.69",,141,20.9125,85.59166667,Orissa
352,1155 -~3 35 5,"Bw
Bw","30.7
30.7","36.0
36.0","33.3
33.3",ccl),--,66..00,"0.58
0.58",,141,20.9125,85.59166667,Orissa
353,33 55 - -6 8 6 8 |,"Bwgl
Bw~1","18.3
18.3","40.4
40.4","41.3
41.3",ssiicc,--,66..1 1,"0.46
0.46",,141,20.9125,85.59166667,Orissa
354,"66 88 - -1 0 14 |
0 4","Bwg2
Bw~2","25.2
25.2","29.5
29.5","45,3
45.3",cC,--,66..22,"0.39
0.39",,141,20.9125,85.59166667,Orissa
355,110 04 4 -— 115 50 0 |,"BBw wg g3
3","20.2
20.2","32.5
32.5","47.3
47.3",cc,--,"6.4
6.4","0.27
0.27",,141,20.9125,85.59166667,Orissa
356,"DDe ep pth th |
((ecmm) )","BHo ori r-
l -
zon |
ZOD","Sand
Saad
((22..00--00..005S
mm)
mm)
((%%) )","SSiUlt t
(0.05-
(O.OS-
0.002mm)|
0.002mm)
((%%) )","Clay
Clay
(<0.002
(<0.002
mm)
mm)
((%%) )","Texture
Texture","| CCo oar as ne e
Cfrraagg. . |
vol. |
vol.
(%)
(~.)","| ppH H
11::22..55
water
water","| EC
| 11::22..5S
water
| water
dS/m)
(dS/m)",,145,19.62666667,82.79611111,Orissa
357,"0-7
0 -1","Ap
Ap","65.4
65.4","17.7
11.1","16.9
16.9",ssll,"-
=","5.8
5.8","0.07
0.01",,145,19.62666667,82.79611111,Orissa
358,"7-29
7- 29",BBtlt l,"57.3
57.3","16.6
16.6","26.1
26.1",sscclI,--,"5.9
5.9","0.04
0.04",,145,19.62666667,82.79611111,Orissa
359,"29-42
29 - 42","Bt2
Btl","50.9
50.9","16.7
16.7","32.4
32.4",ssccli,-~,"6.1
6.1","0.04
0.04",,145,19.62666667,82.79611111,Orissa
360,"42-74
42 - 74","Bt3
Btl","48.4
48.4","13.0
13.0","38.6
38.6","sc
sc",-~,"6.1
6.1","0.02
0.02",,145,19.62666667,82.79611111,Orissa
361,774 4- -1 0 17 0 1 |,"BBt t4
4","47.6
47.6","12.5
12.5","39.9
39.9","sc
50",-~,"6.3
6.3","0.03
0.03",,145,19.62666667,82.79611111,Orissa
362,"107-150
107-150",| BBt t5 S,"30.4
30.4","26.4
26.4","43.2
43.2",cc,-~,"6.4
6.4","0.03
0.03",,145,19.62666667,82.79611111,Orissa
363,"DDe p pth th |
(cm)
(em)","Hori-
Hori-
zzo on n |","Sand
Sand
(( 12. .00- -0 0. .0 05
5
mm)
mm)
((%%))","SSiilltt
(0.05-
(0.05.
0.002mm);/
0.002mm)
((%%) )","Clay
Clay
(<0.002
«0.001
mm)
mm)
((%%) )",T Te ex xtu ture re |,"CCo oa ars rse
e
ff rra ag g. . |
vol. |
vol.
((%%) )","pH
| pH
11: :2 1. .5 5 |
wwa ate ter
r","EC
EC
11: :2 2. .5
5
| wwa ate ter r
((ddSS//mm) )","19°38'55"" Nand 82°7'33"" E ",147,19.64861111,82.12583333,Orissa
364,"0-15
0-15","Ap
Ap~","62.0
62.0","20.2
20.2",117 7..88,ssll,-~,55..99,"0.26
0.26","19°38'55"" Nand 82°7'33"" E ",147,19.64861111,82.12583333,Orissa
365,1155 -— 3344,BBtlt l,"42.6
42.6","22.1
22.1","35.3
35.3",ccll,--,"5.8
5.8","0.14
0.14","19°38'55"" Nand 82°7'33"" E ",147,19.64861111,82.12583333,Orissa
366,3344 --6 69 9,"Bt2
Bt2",3355.3J,"23.2
23.2","41.5
41.5",cc,--,"6.0
6.0","0.13
0.13","19°38'55"" Nand 82°7'33"" E ",147,19.64861111,82.12583333,Orissa
367,"69-104
69 - 104",| BBtst l,"28.8
28.8","22.0
22.0","49.2
49.2",cc,--,66..00,"0.11
0.11","19°38'55"" Nand 82°7'33"" E ",147,19.64861111,82.12583333,Orissa
368,"104—162
104 - 162",| BBt t4 4,"30.9
30.9","22.4
22.4","46.7
46.7",cc,"22
22","6.0
6.0","0.10
0.10","19°38'55"" Nand 82°7'33"" E ",147,19.64861111,82.12583333,Orissa
369,"0-9
0 - 9","A
A","40.2
40.2","27.0
27.0","32.8
32.8","cl
c1","-
-",55..88,"0.13
0.13","19°38'38"" Nand 82°8'30"" E ",149,19.64388889,82.14166667,Orissa
370,"9-26
9 - 26","Bwl
Bwl","37.3
37.3","24.6
24.6","38.1
38.1",cc,--,66..00,"0.09
0.09","19°38'38"" Nand 82°8'30"" E ",149,19.64388889,82.14166667,Orissa
371,"22 66 - -6 7 |
67","B Bw w2
2","35.0
35.0","21.4
21.4","43.6
43.6",cc,--,66..11,"0.08
0.08","19°38'38"" Nand 82°8'30"" E ",149,19.64388889,82.14166667,Orissa
372,66 77 - -1 0 13 0 3 |,"BBw w3
3","32.0
32.0","18.6
18.6","49.4
49. 4",cg,--,66..22,"0.05
0.05","19°38'38"" Nand 82°8'30"" E ",149,19.64388889,82.14166667,Orissa
373,110 03 3 -— 114 48 8,| BBw w4 4,"32.2
32.2","21.3
21.3","46.5
46.5",cc,"-
”",66..44,"0.05
0.05","19°38'38"" Nand 82°8'30"" E ",149,19.64388889,82.14166667,Orissa
374,"Depth |
Depth
(cm)
(em)","Hori-
Hori-
zon |
zon","Sand
Sand
(2.0-0.05
(2.0-0.05
mm)
mm)
((%%) )","SSillti t
(0.05-
(0.05-
0.002mm)
0.OO2mm)
((%%) )","Clay
Clay
(<0.002
«0.002
mm)
mm)
((%%) )","Texture
Texture","| CCo oa ars rse e
ff rra ag g. . |
vvo ol l. . |
((%%) )","| ppH H
11: :2 2. .5 5 |
wwa ate ter
r","EC
EC
11: :2 2. .5
5
| wwa ate ter r
(dS/m)
(dS/m)",,151,20.075,82.52083333,Orissa
375,"0-20
0·20",AA,7700..22,1133..55,1166..33,ssll,4488,77..66,"0.09
0.09",,151,20.075,82.52083333,Orissa
376,"20-40
20-40","Bw
Bw",4400..33,3322..66,2277..00,I|,6633,77..99,"00. .0 07
7",,151,20.075,82.52083333,Orissa
377,"40+
40+","R
R","Hard rock
Hard rock",,,,,,,,151,20.075,82.52083333,Orissa
378,"DDe ep pth th |
(em)
(cm)","Hori-
Hori·
zzo on o |","Sand
Sand
(( 22. .00- -0 0. .0 05
5
mim)
mm)
((%%) )","SSiillt t
(0.05-
(0.05-
0.002mm)|
0.002mm)
((%%) )","Clay
Clay
(<0.002
«0.002
mm)
mm)
((%%) )","Texture
Texture","| CCo oa ars rse e |
ff rra ag g. . |
vvo ol. l . |
((%%) )","ppH
H
11: :2 2. .5 5 |
water
water","EC
EC
11: :2 2. .5
5
water
| water
(dS/m)
(dS/m)",,153,19.64166667,82.08333334,Orissa
379,"0-20
0 - 20",AA,"57.6
57.6",1199..88,"22.6
22.6",ssccl i,-,"5.4
5.4","0.08
0.08",,153,19.64166667,82.08333334,Orissa
380,220 0- -3 36 6 |,"AAl 12
2","57.4
57.4","19.5
19.5","23.1
23.1",ssccli,-,55..66,"0.06
0.06",,153,19.64166667,82.08333334,Orissa
381,3366 —- 6600,BBt t,"47.6
47.6","20.0
20.0","32.4
32.4",sscclI,-,"5.7
5.7","0.03
0.03",,153,19.64166667,82.08333334,Orissa
382,66 00 - -1 0 10 0 0 |,"CCr
r",".
-","-
-",".
-","-
”",.,".
:",.-,,153,19.64166667,82.08333334,Orissa
383,"DDe ep pth th |
(cm)
(em)","Hori-
Hori-
zon |
zon","Sand
Sand
(( 22. .00- -0 0. .0 05
5
mm)
mm)
((%%) )","SSiiltl t
(0.05-
(0.05-
0.002mm)|
0.002mm)
((%%) )","Clay
Clay
(<0.002
«0.002
mm)
mm)
((%%))","Texture
Texture","| CCo oa ars rse e |
ff rra ag g. . |
vvool.l . |
((%%) )","ppH
H
11: :2 2. .5
5
water
water","EC
EC
| 11: :2 2. .5 5
| wwa ate ter r
((ddSS//mm) )",,155,19.65833333,82.17916667,Orissa
